first_name,last_name,email,phone,zip_code,state,volunteer,favorite_animal,date_collected
Melessa,Levane,,3047887188,25716,WV,true,"Wallaby, red-necked",4/27/2019
Cris,Mapston,,9181055965,74184,OK,false,"Wallaby, tammar",6/4/2019
Teresa,Greed,,,16550,PA,true,"Insect, stick",8/12/2019
Drusi,Rapelli,,,67260,KS,false,Sugar glider,1/25/2019
Delphine,Orth,,7042975600,28263,NC,true,Black-backed magpie,9/13/2019
Thaddeus,Weyland,,2094168677,95205,CA,false,,9/19/2019
Broderick,Lancastle,,9077324878,99599,AK,,"Cockatoo, red-tailed",4/20/2019
Giraldo,Leport,gleport7@exblog.jp,,93034,CA,true,Civet cat,8/5/2019
Petronella,Chaudrelle,,6016084655,39210,MS,,Python (unidentified),5/17/2019
Archaimbaud,Kermitt,akermitt9@loc.gov,4122936408,,,,American black bear,11/30/2018
Ilene,Le Leu,ileleua@nature.com,9077841361,99599,AK,,"Cobra, egyptian",1/23/2019
Brittney,Page,bpageb@sohu.com,6269294463,90025,CA,,"Hornbill, red-billed",11/17/2018
Corabel,Spelsbury,,5045602356,70124,LA,false,Bengal vulture,12/26/2018
Pia,Leist,pleistd@posterous.com,8324698358,77266,TX,true,,11/30/2018
Goldie,Gulleford,,9182159663,74108,OK,false,"Robin, kalahari scrub",8/25/2019
Kirsten,Spears,,7862045433,33190,FL,,,12/7/2018
Karmen,Dach,,5611272971,33436,FL,false,Hoffman's sloth,12/23/2018
Garald,Andersson,ganderssonh@hatena.ne.jp,3526769398,,,,"Squirrel, eastern fox",2/5/2019
Mirelle,Cocke,,7345187525,48126,MI,,"Wallaroo, common",11/20/2018
Rosalie,Calladine,,3177406601,46207,IN,true,Agouti,7/1/2019
Ilario,Lidster,,8506928279,32520,FL,true,"Penguin, galapagos",7/14/2019
Lyndsey,Prestland,,,28314,NC,true,"Egret, snowy",7/20/2019
Anselm,Carnalan,acarnalanm@naver.com,8179056501,76205,TX,,"Squirrel, european red",7/2/2019
Lynnelle,Mottershead,lmottersheadn@weather.com,2146880735,75037,TX,true,Large-eared bushbaby,10/3/2018
Noak,Gobel,,8596361845,40546,KY,,Mara,4/28/2019
Corinne,Pellingar,,,47747,IN,true,African buffalo,8/13/2019
Emmye,Cockshut,ecockshutq@columbia.edu,9183414642,74133,OK,,Bottle-nose dolphin,10/11/2018
Lorrie,Ditch,,2395163091,33913,FL,,Pallas's fish eagle,5/23/2019
Berty,Gabel,,,14652,NY,,"Baboon, chacma",6/15/2019
Amii,Bausmann,abausmannt@instagram.com,,76210,TX,,Great kiskadee,2/1/2019
Chrissy,Gallego,cgallegou@xrea.com,5204206352,85715,AZ,false,"Sheep, american bighorn",11/10/2018
Langston,Benedito,,2038750844,,,true,"Sheep, red",9/8/2019
Daniel,Boness,,9191380182,27635,NC,false,North American river otter,5/19/2019
Ozzy,Richardet,orichardetx@live.com,6177728357,02109,MA,false,Western bearded dragon,1/7/2019
Chance,Pren,cpreny@scientificamerican.com,3098835724,61709,IL,,Steller sea lion,8/24/2019
